大分類,小分類,名称,所在地,開設年,開設月,電話番号,WebサイトURL,情報,X座標,Y座標
保育施設,保育施設,はぐはぐキッズ浅草橋アネックス,台東区浅草橋２丁目６番４号サンブリヤ浅草橋１階,,,03-5823-4556,https://hoikuen.hughugkids.jp/school/asakusabashi-annex/,小規模保育所,139.7842879,35.69913522
保育施設,保育施設,ビーフェア上野御徒町保育園,台東区台東２丁目２１番１１号レ・ベント御徒町１階,,,03-6240-1771,https://bflove.com/hoikuen/uenookachimachi.html,,139.780325,35.70378434
保育施設,保育施設,ふくろう保育園,台東区蔵前１丁目３番３３号ＢＬＥＳＳ蔵前１階,,,03-5846-9768,https://www.alps2015.com/post/%E3%81%B5%E3%81%8F%E3%82%8D%E3%81%86%E4%BF%9D%E8%82%B2%E5%9C%92,,139.7913135,35.70092356
,,ふたみ家庭保育室,元浅草3丁目10-5 冨川ビル 1階,,,,http://momlist.laxic.me/map/store/%E3%81%B5%E3%81%9F%E3%81%BF%E5%AE%B6%E5%BA%AD%E4%BF%9D%E8%82%B2%E5%AE%A4/,,139.7862295,35.7073478
保育施設,保育施設,フレンドキッズランド三ノ輪園,台東区三ノ輪1丁目22番10号岩出ビル1階,,,03-5808-9127,https://fk-land.com/nurseries/minowa.html,,139.7914468,35.72880703
保育施設,保育施設,ベベ・ア・パリ保育園東上野,東上野3丁目8番7号矢口ビル1階,,,03-5826-4421,https://fes-nsy.com/ueno/,,139.7806036,35.71052222
保育施設,保育施設,ベベ・ア・パリ保育園未来,台東区台東３丁目３４番５号島田ビル１階,,,03-6803-2210,https://fes-nsy.com/bebe/,,139.7794972,35.70546604
私立保育園,私立保育園,ぽけっとランド浅草橋保育園,台東区浅草橋５丁目２５番１０号浅草橋１stビル１～３階,,,03-5833-4511,https://www.pocket-land.jp/asakusabashi/,,139.782972,35.70157712
私立保育園,私立保育園,ポピンズナーサリースクール蔵前,台東区三筋1丁目7番9号,,,03-5829-3920,https://www.poppins.co.jp/nursery/room/detail/12464/,,139.7851785,35.70335918
私立保育園,私立保育園,ミアヘルサ保育園ひびき御徒町,台東区東上野１丁目１１番１１号,,,03-6240-1919,https://www.merhalsa.jp/hoikuen/nursery/okachimachi/,,139.7785205,35.70805364
私立保育園,私立保育園,ミアヘルサ保育園ひびき浅草,台東区西浅草3丁目19番3号,,,03-6231-7607,https://www.merhalsa.jp/hoikuen/nursery/asakusa/,,139.7910083,35.71604466
保育施設,保育施設,みつな保育園,台東区雷門2丁目1番10号若山ビル1階,,,03-3841-7707,https://www.mitsunahoikuen.com/,,139.7977193,35.70995373
保育施設,保育施設,ヤクルト浅草松が谷保育園,松が谷2丁目16番3号ユーコート松が谷1階,,,03-3845-8960,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/hoiku_youjikyouiku/hoikutakuji/tiikigata/jigyousyonai.html,,139.7867148,35.71362319
私立保育園,私立保育園,ゆらりん竹町保育園,台東区台東４丁目１６番８号偕楽ビル新御徒町１・２階,,,03-5812-4028,https://hoiku.lifesupport.co.jp/yurarin-takecho/,,139.7797353,35.70626173
私立保育園,私立保育園,レイモンド鳥越保育園,台東区鳥越2丁目6番2号,,,03-5829-8431,https://www.lemonkai.or.jp/school/nursary/leimond-torigoe-hoikuen/,,139.7845203,35.70202259
私立保育園,私立保育園,愛隣保育園,根岸5丁目15番3号,,,03-3872-4547,https://www.airindan.or.jp/preschool.html,,139.7881832,35.72761326
,,家庭保育室Ｍｉｍｉ,浅草4丁目,,,,http://momlist.laxic.me/map/store/%E5%AE%B6%E5%BA%AD%E4%BF%9D%E8%82%B2%E5%AE%A4-mimi/,,139.7955653,35.7187447
,,家庭保育室ふわふわ,千束3丁目17-5 ミハルビル1階,,,,https://www.homery-fuwafuwa.com/,,139.7914002,35.7221416
私立保育園,私立保育園,花川戸保育園,花川戸2丁目11番13号,,,03-3844-8366,http://www.hanakawado.jp/,,139.8004427,35.7148447
私立保育園,私立保育園,共生保育園,橋場1丁目10番11号,,,03-3873-1369,https://www.tomoiki-n.net/,,139.8054629,35.72382468
区立保育園,区立保育園,玉姫保育園,清川2丁目22番16号,,,03-3872-5364,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/tamahime.html,平成31年3月末まで仮園舎へ移転 （清川2丁目24番8号）,139.8039028,35.72752406
保育施設,保育施設,御徒町保育室,台東区上野5丁目21番5号,,,03-3834-9110,https://ennavi.kidsna.com/childcare/facility/2776,緊急保育室,139.7749775,35.70634808
私立保育園,私立保育園,康保会乳児保育所,日本堤2丁目7番1号,,,03-3875-0058,https://www.kouhokai.or.jp/nyuji/,,139.797582,35.72704308
私立保育園,私立保育園,康保会保育園,日本堤1丁目6番2号,,,03-3875-0514,https://www.kouhokai.or.jp/,,139.7979422,35.72497344
区立保育園,区立保育園,坂本保育園,下谷3丁目11番2号,,,03-3873-4287,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/sakamoto.html,,139.7872334,35.72502352
区立保育園,区立保育園,三筋保育園,三筋2丁目16番4号,,,03-3866-2413,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/misuji.html,,139.7870846,35.70597524
区立保育園,区立保育園,松が谷保育園,松が谷4丁目15番11号,,,03-3843-0853,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/matsugaya.html,,139.7863338,35.71851406
私立保育園,私立保育園,上野保育園,東上野6丁目20番7号,,,03-3841-7545,http://ueno-hoikuen.tokyo/,,139.7838742,35.71477435
私立保育園,私立保育園,清川保育園,清川1丁目15番11号,,,03-3872-0116,https://kosodate-web.com/kiyokawa/,,139.8028527,35.72495418
,,石浜橋場こども園,橋場1丁目35-6,,,,https://taito.ed.jp/swas/index.php?id=1380019,,139.8071274,35.7255205
区立保育園,区立保育園,千束保育園,千束3丁目20番6号,,,03-3874-1713,https://www.city.ota.tokyo.jp/shisetsu/hoikuen/kuritsu/senzokuhoikuen.html,,139.7928029,35.7223237
区立保育園,区立保育園,浅草橋保育園,浅草橋2丁目23番5号,,,03-3866-0321,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/asakusabashi.html,,139.7847452,35.70019583
保育施設,保育施設,蔵前らる小規模保育園,蔵前4丁目32番7号グレイス蔵前1階,,,03-5825-4388,https://ndc-lull.com/nursery-school-list/kuramae/,,139.7902491,35.70599657
区立保育園,区立保育園,待乳保育園,今戸2丁目26番12号,,,03-3873-4150,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/matsuchi.html,,139.8075529,35.72192514
区立保育園,区立保育園,台東保育園,台東1丁目11番10号,,,03-3832-6743,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/taito.html,,139.7765454,35.7012655
区立保育園,区立保育園,谷中保育園,上野桜木2丁目16番10号,,,03-3828-3223,https://www.city.taito.lg.jp/kusei/shisetsu/hoikusho/kuritsu/yanaka.html,,139.7714448,35.72254338
,,渡部家庭保育室,浅草4丁目25-5 タウンハウスワタベ 1f,,,,https://www.sukusuku-taito.jp/,,139.7930283,35.7187862
区立保育園,区立保育園,東上野乳児保育園,東上野4丁目22番3号,,,03-3844-3577,,,139.7814944,35.71438433
区立保育園,区立保育園,東上野保育園,東上野2丁目25番12号,,,03-3833-9810,,,139.7814947,35.70947479
,,忍岡こども園,池之端2丁目1-22,,,,https://tokyojidokyokai.com/contents/Facility/shinobu/,,139.7668752,35.7136556
私立保育園,私立保育園,北上野クローバー保育園,台東区北上野２丁目１８番８号,2022,4,03-5830-7473,,,139.7840014,35.71802031
保育施設,保育施設,北上野保育室,台東区北上野２丁目２４番１３号,,,03-5246-4002,,緊急保育室,139.7845331,35.71864526
私立保育園,私立保育園,立華学苑,谷中5丁目4番19号,,,03-3828-9255,,,139.766185,35.72492291
