施設種別,地区,保育園名,所在地,緯度,経度,種別,開設年,開設月,電話番号,WebサイトURL,入園可能月齢,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日
認可保育園,芝,小鳩ナーサリースクール浜離宮,東京都港区浜松町一丁目3番1号,35.659878,139.756993,私立,,,03-6432-0123,https://www.kobato.net/hamarikyu/,3か月,9:00,17:00,7:15,18:15,3か月,20:15まで,日・祝・年末年始
認可保育園,芝,ニチイキッズ芝公園保育園,東京都港区芝二丁目1番27号　穴水ビル2階,35.653349,139.751196,私立,,,03-5765-5075,https://www.nichiikids.net/nursery/other/shibakouen/index.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝,にじいろ保育園竹芝,東京都港区海岸一丁目13番15号,35.654298,139.761854,私立,,,03-6381-5195,https://www.like-kn.co.jp/academy/establishment/nijiiro/takeshiba/index.html,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,麻布,南麻布保育園,東京都港区南麻布四丁目2番29号101,35.647872,139.72407,区立,,,03-3442-8068,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/10/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,本村保育園,東京都港区南麻布四丁目6番7号,35.651113,139.727587,区立,,,03-3444-2385,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/05/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,西麻布保育園,東京都港区西麻布二丁目13番3号,35.660833,139.722718,区立,,,03-3409-4924,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/11/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,麻布保育園,東京都港区六本木五丁目16番46号,35.660657,139.735091,区立,,,03-5545-7135,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/03/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,飯倉保育園,東京都港区東麻布一丁目21番2号,35.655912,139.743532,区立,,,03-3583-1786,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/06/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,東麻布保育園,東京都港区東麻布二丁目1番1号,35.658212,139.74262,区立,,,03-3584-3811,https://minato-hah.com/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始
認可保育園,麻布,元麻布保育園,東京都港区元麻布二丁目14番12号,35.653073,139.730217,区立,,,03-5422-7338,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/26/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始
認可保育園,麻布,まなびの森保育園麻布,東京都港区南麻布一丁目8番11号　東町小学校内,35.650887,139.735832,私立,,,03-3455-3066,http://kodomonomori.co.jp/jb/,57日,8:30,16:30,7:15,18:15,1歳の誕生日の翌日,20:15まで,日・祝・年末年始
認可保育園,麻布,あい保育園南麻布,東京都港区南麻布二丁目11番10号　OJビル3階,35.647686,139.735729,私立,,,03-6453-7970,https://aigran.co.jp/nursery_list/1-1206/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,麻布,太陽の子南麻布保育園,東京都港区南麻布四丁目11番30号　南麻布渋谷ビル2階,35.646992,139.727149,私立,,,03-5488-8070,https://www.kidslife-nursery.com/facility/tokyo/minato/minamiazabu/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,麻布,あい保育園元麻布,東京都港区元麻布三丁目2番19号　MOMON六本木ビル2階,35.657381,139.727326,私立,,,03-6447-1871,https://aigran.co.jp/nursery_list/1-1158/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,麻布,まちの保育園六本木,東京都港区六本木一丁目9番10号　アークヒルズ仙石山森タワー,35.663588,139.741813,私立,,,03-6441-2478,https://machihoiku.jp/roppongi/,57日,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,20:30まで,日・祝・年末年始
認可保育園,麻布,まちの保育園六本木分園,東京都港区虎ノ門五丁目5番1号　アークヒルズ仙石山テラス103,35.663636,139.74188,私立,,,03-6450-1726,https://machihoiku.jp/roppongi/,,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,20:30まで,日・祝・年末年始
認可保育園,麻布,コスモス西麻布保育園,東京都港区西麻布二丁目2番2号　NKホームズ１階B,35.661597,139.724999,私立,,,03-6427-3733,https://www.senseikai.or.jp/publics/index/26/,57日,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,20:15まで,日・祝・年末年始
認可保育園,麻布,あい・あい保育園麻布十番園,東京都港区東麻布二丁目32番7号　麻布アコービル2階,35.656032,139.740453,私立,,,03-5545-5461,https://nursery.aiai-cc.co.jp/facility/azabujyuban/,57日,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,19:30まで,日・祝・年末年始
認可保育園,麻布,ふたばクラブ東麻布保育園,東京都港区東麻布一丁目5番6号,35.657895,139.743181,私立,,,03-5797-8728,https://futabaclub.jp/higashiazabu.html,3か月,9:00,17:00,7:30,18:30,1歳の誕生日,19:30まで,日・祝・年末年始
認可保育園,麻布,まなびの森保育園麻布十番,東京都港区南麻布一丁目14番1号,35.651137,139.734086,私立,,,03-6436-7887,http://kodomonomori.co.jp/jb/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,麻布十番ちとせ保育園,東京都港区麻布十番一丁目3番2号,35.656991,139.735836,私立,,,03-3586-1058,https://www.chitosek.or.jp/preschools/azabujuban,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,麻布,sakura保育園六本木,東京都港区六本木四丁目5番11号,35.664764,139.732417,私立,,,03-6434-5011,https://sakurakids.net/,57日,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日から,20:30まで,日・祝・年末年始
認可保育園,麻布,リトルパルズ保育園六本木,東京都港区六本木六丁目5番27号,35.660996,139.731241,私立,,,050-1741-0790,https://wb-hoikuen.jp/tokyo/roppongi,57日,9:00,17:00,7:30,18:30,57日,19:30まで,日・祝・年末年始
認可保育園,赤坂,赤坂保育園,東京都港区赤坂五丁目5番26号101,35.671125,139.734061,区立,,,03-3583-2156,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/01/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,赤坂,南青山保育園,東京都港区南青山一丁目3番15号,35.671188,139.725527,区立,,,03-3401-1650,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/09/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,赤坂,青山保育園,東京都港区北青山三丁目4番1号101,35.668127,139.71402,区立,,,03-3401-1723,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/02/index.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,赤坂,赤坂ちとせ保育園,東京都港区赤坂四丁目7番15号　陽栄光和ビル1階,35.675503,139.734069,私立,,,03-6459-1012,https://www.chitosek.or.jp/preschools/akasaka,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,赤坂,太陽の子赤坂保育園,東京都港区赤坂八丁目12番16号　NOZY　AKASAKA1階、2階、3階,35.669165,139.729383,私立,,,03-6434-9431,https://www.kidslife-nursery.com/facility/tokyo/minato/akasaka/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,赤坂,あい保育園青山一丁目,東京都港区南青山一丁目3番1号　パークアクシス青山一丁目タワー2階,35.671674,139.725591,私立,,,03-6459-2860,https://aigran.co.jp/nursery_list/1-1170/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,赤坂,太陽の子南青山保育園,東京都港区南青山四丁目1番6号　セブン南青山1階、2階,35.667301,139.719068,私立,,,03-5413-5512,https://www.kidslife-nursery.com/facility/tokyo/minato/minamiaoyama/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,赤坂,小学館アカデミー南青山保育園,東京都港区南青山四丁目15番8号　南青山246ビル,35.66495,139.718306,私立,,,03-5770-1512,https://www.shopro.co.jp/hoiku/shisetsu/minamiaoyama/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,赤坂,赤坂山王保育園,東京都港区赤坂四丁目1番26号,35.676397,139.734702,私立,,,03-5114-5605,https://hoyukai.iuhw.ac.jp/akasakasanno-h/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,赤坂,赤坂クレア保育園,東京都港区赤坂四丁目9番3号,35.675472,139.732987,私立,,,03-6812-9268,http://akasaka-crea.com/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,赤坂,おはよう保育園ののあおやま,東京都港区北青山三丁目4番3号,35.666941,139.7127,私立,,,03-6447-0195,https://www.ttkids.co.jp/shisetsu_nonoaoyama.html,57日,9:00,17:00,7:30,18:30,1歳の誕生日,19:30まで,日・祝・年末年始
認可保育園,高輪,伊皿子坂保育園,東京都港区三田四丁目19番30号,35.640411,139.738726,区立,,,03-3444-7601,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/14/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,高輪保育園,東京都港区高輪三丁目18番15号,35.633207,139.735724,区立,,,03-3449-1641,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/16/index.html?utm_source=dlvr.it&utm_medium=facebook,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,白金保育園,東京都港区白金三丁目10番12号,35.644936,139.731076,区立,,,03-3441-5076,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/15/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,太陽の子三田五丁目保育園,東京都港区三田五丁目4番3号　三田プラザビル3階,35.647706,139.738902,私立,,,03-5439-6775,https://www.kidslife-nursery.com/facility/tokyo/minato/mita5/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,高輪,みなと保育園,東京都港区高輪一丁目6番9号,35.642366,139.735335,私立,,,03-3443-3406,https://doen.jp/introduction/nuture/minato,43日,9:00,17:00,7:30,18:30,1歳の誕生日,19:30まで,日・祝・年末年始
認可保育園,高輪,愛星保育園,東京都港区高輪一丁目27番40号,35.63676,139.731967,私立,,,03-3441-5410,https://www.aiseihoikuen.or.jp/,3か月,9:00,17:00,7:00,18:00,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,ゆらりん高輪保育園,東京都港区高輪一丁目5番38号　HUG高輪1階、2階,35.641758,139.736717,私立,,,03-5422-6170,https://hoiku.lifesupport.co.jp/yurarin-takanawa/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,高輪夢保育園,東京都港区高輪三丁目25番33号　長田ビル3階,35.631944,139.737918,私立,,,03-5791-9680,https://www.yumekoubou.or.jp/hoikuen/takanawayume/,57日,9:15,17:15,7:15,18:15,満5か月,20:15まで,日・祝・年末年始
認可保育園,高輪,ゆらりん白金保育園,東京都港区白金一丁目26番10号　白金K-FLAT 1階、2階の一部,35.643907,139.733517,私立,,,03-6409-6310,https://hoiku.lifesupport.co.jp/yurarin-shirokane/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,みつばち保育園,東京都港区白金四丁目7番2号,35.642807,139.727554,私立,,,03-3444-8767,https://hoiku.mitsu-bachi.net/,43日,9:00,17:00,7:15,18:15,43日,19:15まで,日・祝・年末年始
認可保育園,高輪,ニチイキッズ白金台保育園,東京都港区白金台二丁目26番10号　グリーンオーク高輪台2階,35.631759,139.729917,私立,,,03-5791-2161,https://www.nichiikids.net/nursery/other/shiroganedai/index.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,高輪さつき保育園,東京都港区高輪一丁目16番15号　自動車部品会館2階,35.64095,139.733479,私立,,,03-3473-2320,https://www.satuki-tk.com/,57日,9:00,17:00,7:15,18:15,1歳の誕生日の翌日,20:15まで,日・祝・年末年始
認可保育園,高輪,えほんのもり白金台保育園,東京都港区白金台二丁目11番3号,35.633192,139.730735,私立,,,03-6450-3546,http://ehonnomori-hoikuen.com/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,高輪,さくらさくみらい高輪,東京都港区高輪二丁目6番21号,35.636165,139.73334,私立,,,03-5860-2339,https://www.sakura-39.jp/hoiku/takanawa/,57日,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,20:15まで,日・祝・年末年始
認可保育園,高輪,ミアヘルサ保育園ひびき白金高輪,東京都港区白金三丁目2番3号,35.64656,139.731283,私立,,,03-5860-2251,https://www.merhalsa.jp/hoikuen/nursery/shirogane_takanawa/,,9:00,17:00,7:30,18:30,1歳,20:30まで,日・祝・年末年始
認可保育園,高輪,うれしい保育園白金高輪,東京都港区三田五丁目17番2号,35.645161,139.736962,私立,,,03-5795-2310,https://www.care21.co.jp/ureshii_hoiku/uh-shirokanetakanawa/,57日,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,20:15まで,日・祝・年末年始
認可保育園,高輪,ほっぺるランド高輪二丁目,東京都港区高輪二丁目16番8号,35.638892,139.739177,私立,,,03-5422-9781,https://hoppel-land.com/introduces/7722-2/,57日,9:00,17:00,7:30,18:30,1歳の誕生日,20:30まで,日・祝・年末年始
認可保育園,高輪,あい保育園白金台,東京都港区白金台三丁目13番18号,35.635829,139.724707,私立,,,03-6277-4494,https://aigran.co.jp/nursery_list/1-1518/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,しばうら保育園,東京都港区芝浦三丁目1番16号,35.645136,139.750214,区立,,,03-5232-1130,https://www.shopro.co.jp/hoiku/shisetsu/shibaura/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始
認可保育園,芝浦港南,しばうら保育園分園,東京都港区芝浦一丁目16番1号,35.646636,139.751425,区立,,,03-6453-6346,https://www.shopro.co.jp/hoiku/shisetsu/shibaurabunen/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始
認可保育園,芝浦港南,こうなん保育園,東京都港区港南四丁目2番3号101,35.629827,139.747918,区立,,,03-3450-3800,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/08/index.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,たかはま保育園,東京都港区港南四丁目3番7号,35.631151,139.749972,区立,,,03-5781-0255,https://www.nihonhoiku.co.jp/blog/takahama/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始
認可保育園,芝浦港南,台場保育園,東京都港区台場一丁目5番1号,35.630085,139.777068,区立,,,03-5500-2360,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/04/index.html?utm_source=dlvr.it&utm_medium=facebook,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子シーバンス保育園,東京都港区芝浦一丁目2番2号　シーバンスアモール3階,35.649696,139.756524,私立,,,03-5439-4014,https://www.kidslife-nursery.com/facility/tokyo/minato/seavans/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子芝浦一丁目保育園,東京都港区芝浦一丁目9番7号　芝浦おもだかビル2階、3階,35.648178,139.753541,私立,,,03-5439-5251,https://www.kidslife-nursery.com/facility/tokyo/minato/shibaura1/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,アンジェリカ田町保育園,東京都港区芝浦一丁目6番41号　グローバルフロントタワー1階,35.647586,139.75497,私立,,,03-6435-2157,https://www.angelica-nsy.net/facilities/tamachihoiku/,57日,9:00,17:00,7:30,18:30,57日,20:30まで,日・祝・年末年始
認可保育園,芝浦港南,にじのいるか保育園芝浦,東京都港区芝浦二丁目3番31号　第二高取ビル2階,35.644138,139.754543,私立,,,03-6435-3804,https://www.nijinoiruka.ed.jp/nursery/shibaura/,57日,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子芝浦二丁目保育園,東京都港区芝浦二丁目17番9号　大友ビル1階,35.644917,139.752268,私立,,,03-5418-7767,https://www.kidslife-nursery.com/facility/tokyo/minato/shibaura2/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子芝浦三丁目保育園,東京都港区芝浦三丁目20番2号　山楽ビル2階、3階,35.642236,139.746501,私立,,,03-5439-6206,https://www.kidslife-nursery.com/facility/tokyo/minato/shibaura3/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,アスク芝浦4丁目保育園,東京都港区芝浦四丁目12番28号,35.639594,139.749084,私立,,,03-6435-2855,https://www.nihonhoiku.co.jp/blog/shibaura4/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,ゆらりん港南保育園,東京都港区港南一丁目6番27号　芝浦クリスタル品川港南 2階,35.62962,139.745437,私立,,,03-6712-1188,https://hoiku.lifesupport.co.jp/yurarin-konan/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,グローバルキッズ港南保育園,東京都港区港南四丁目1番8号　リバージュ品川2階,35.629617,139.746672,私立,,,03-3450-6130,https://www.gkids.co.jp/facilities/nursery_072.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,ベネッセ港南保育園,東京都港区港南四丁目6番7号,35.627761,139.750726,私立,,,03-5783-5871,https://hoiku.benesse-style-care.co.jp/facilities/area_tokyo/minato/h-kounan/,57日,9:00,17:00,7:00,18:00,1歳の誕生日,22:00まで,日・祝・年末年始
認可保育園,芝浦港南,ふたばクラブ港南保育園,東京都港区港南二丁目16番6号　CanonSタワー,35.646636,139.751425,私立,,,03-6712-9428,https://futabaclub.jp/kounann.html,3か月,9:00,17:00,7:30,18:30,1歳の誕生日,19:30まで,日・祝・年末年始
認可保育園,芝浦港南,ゆらりんはぁと保育園,東京都港区港南一丁目8番23号　ShinagawaHEART2階,35.629704,139.744497,私立,,,03-6260-0873,https://hoiku.lifesupport.co.jp/yurarin-heart/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,ゆらりん港南緑水保育園,東京都港区港南四丁目7番37号（港南緑水公園内）,35.629753,139.75167,私立,,,03-5781-2781,https://hoiku.lifesupport.co.jp/yurarin-ryokusui/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,デイジー保育園芝浦,東京都港区芝浦四丁目17番3号　芝浦NAビル3階,35.637018,139.747121,私立,,,03-6275-1903,https://threepeace.life/service/daisy-nursery/daisyshibaura/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝浦港南,にじいろ保育園海岸三丁目,東京都港区海岸三丁目16番6号,35.642496,139.755864,私立,,,03-6722-6865,https://www.like-kn.co.jp/academy/establishment/nijiiro/kaigan3choume/index.html,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認定こども園,芝浦港南,芝浦アイランドこども園,東京都港区芝浦四丁目20番1号,35.640426,139.752365,区立,,,03-5443-7337,https://www.tokyoymca.org/childcare/shibaura-kodomo/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始
小規模保育事業,芝,正光寺保育園赤羽橋園,東京都港区三田一丁目3番44号　1階、2階,35.654696,139.741889,私立,,,03-6453-8620,https://www.sk-j.or.jp/childcare/facility/akabanebashi,57日,8:15,16:15,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
小規模保育事業,芝,こころナーサリー新橋,東京都港区新橋五丁目35番10号　新橋アネックス1階,35.662979,139.753349,私立,,,03-6435-8377,https://www.taiyo.ed.jp/nursery/shinbashi/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
小規模保育事業,芝,ふらわぁきっず保育園新橋,東京都港区新橋三丁目3番13号　TsaoHibiya１階,35.666003,139.754138,私立,,,03-6550-8800,http://flower-kids.com/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
小規模保育事業,麻布,デイジー保育園麻布十番,東京都港区麻布十番三丁目10番12号　シティ麻布2階,35.652857,139.734557,私立,,,03-6809-6353,https://threepeace.life/service/daisy-nursery/daisyazabujuban/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
小規模保育事業,麻布,デイジー保育園麻布十番フォレスト,東京都港区麻布十番三丁目10番12号　シティ麻布3階,35.652857,139.734557,私立,,,03-5439-9241,https://threepeace.life/service/daisy-nursery/daisyazabujubanforest/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
小規模保育事業,麻布,ここいく保育園西麻布,東京都港区西麻布四丁目10番1号,35.657981,139.722985,私立,,,03-6419-7333,https://cocoiku-hoikuen.com/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
小規模保育事業,赤坂,ウィズブック保育園赤坂,東京都港区赤坂四丁目14番14号　パークコート赤坂ザタワー1階,35.6734406,139.7313922,私立,,,03-6277-8555,,3か月,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,19:30まで,日・祝・年末年始
小規模保育事業,赤坂,sakura保育園,東京都港区赤坂二丁目12番17号,35.671246,139.740235,私立,,,03-6426-5097,https://sakurakids.net/,57日,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,19:30まで,日・祝・年末年始
小規模保育事業,高輪,ふらわぁきっず保育園三田,東京都港区三田五丁目5番7号　ミタ5ゲートタワー1階,35.647066,139.740173,私立,,,03-6809-5303,http://flower-kids.com/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
小規模保育事業,高輪,ちゃいるど・はっぴっぴ!!白金保育園,東京都港区白金三丁目2番9号　1階,35.646333,139.731321,私立,,,080-5875-9716,https://happy-pi.com/,57日,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,19:30まで,日・祝・年末年始
小規模保育事業,芝浦港南,港南あおぞら保育園,東京都港区港南三丁目8番1号　森永乳業港南ビル1階,35.6320239,139.7500836,私立,,,03-6712-1988,http://kounan-aozora.jp/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,19:15まで,日・祝・年末年始
小規模保育事業,芝浦港南,にじのそら保育園芝浦,東京都港区芝浦一丁目14番6号　BSビル1階,35.647081,139.75313,私立,,,03-6722-0425,https://hikari-kai.com/nijinosora/introduction/,57日,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,20:15まで,日・祝・年末年始
港区保育室,芝,芝公園二丁目保育室,東京都港区芝公園二丁目12番10号,35.653571,139.749925,委託,,,03-3436-6611,https://www.kidslife-nursery.com/facility/tokyo/minato/shibakouen2/,,9:00,17:00,7:15,18:15,1歳,20:15まで,日・祝・年末年始
港区保育室,芝,新橋保育室,東京都港区新橋六丁目12番4号,35.661668,139.754252,委託,,,03-6435-2088,https://shinbashi-kids.com/,,9:00,17:00,7:15,18:15,1歳,20:15まで,日・祝・年末年始
